dataset_size,epoch,train_loss,train_rmse,val_loss,val_rmse
200,10,0.59761,0.77276,0.51867,0.71995
200,11,0.47581,0.68927,0.41389,0.64317
200,12,0.37343,0.60989,0.27317,0.52247
200,13,0.26898,0.51692,0.21376,0.4623
200,14,0.20022,0.44719,0.19474,0.44116
200,15,0.16941,0.40909,0.18504,0.43009
200,16,0.16476,0.40424,0.13625,0.36778
200,17,0.1536,0.38987,0.12207,0.34929
200,18,0.13942,0.37166,0.14722,0.38365
200,19,0.13924,0.37118,0.11904,0.34499
200,20,0.14166,0.37502,0.18269,0.42737
200,21,0.13011,0.35983,0.089369,0.29801
200,22,0.13177,0.3599,0.088327,0.29687
200,23,0.11955,0.34452,0.09594,0.30947
200,24,0.10456,0.32275,0.080547,0.283
200,25,0.11122,0.33143,0.087233,0.2944
200,26,0.10521,0.32401,0.085796,0.29239
200,27,0.11056,0.33151,0.076187,0.27567
200,28,0.11822,0.33958,0.091094,0.30164
200,29,0.11698,0.34139,0.099991,0.31612
200,30,0.1207,0.34402,0.078566,0.27971
200,31,0.10418,0.32173,0.073705,0.27116
200,32,0.092717,0.30406,0.069256,0.26273
200,33,0.094958,0.30719,0.077304,0.27652
200,34,0.09394,0.30557,0.072721,0.26899
200,35,0.094543,0.30536,0.088808,0.29769
200,36,0.09803,0.31202,0.064493,0.25354
200,37,0.084948,0.29094,0.065721,0.25601
200,38,0.090872,0.30082,0.073631,0.27104
200,39,0.096506,0.30699,0.075694,0.27464
200,40,0.090493,0.29816,0.064742,0.25412
200,41,0.089103,0.29763,0.078847,0.27893
200,42,0.083364,0.28723,0.083675,0.28904
200,43,0.091163,0.30059,0.078215,0.27904
200,44,0.083254,0.2879,0.066303,0.25663
200,45,0.080804,0.28265,0.074956,0.2734
200,46,0.092779,0.30169,0.075511,0.27367
200,47,0.07711,0.27673,0.063995,0.25266
200,48,0.077889,0.27687,0.067232,0.25901
200,49,0.075717,0.27449,0.056338,0.23681
200,50,0.079103,0.28028,0.055726,0.23572
200,51,0.074594,0.27225,0.063865,0.25228
200,52,0.074372,0.2716,0.055283,0.23476
200,53,0.078529,0.27878,0.055736,0.23566
200,54,0.069581,0.26337,0.055226,0.23463
200,55,0.073585,0.27066,0.063552,0.2518
200,56,0.066546,0.25759,0.051061,0.22561
200,57,0.072341,0.26767,0.051055,0.22549
200,58,0.06895,0.26141,0.054122,0.23226
200,59,0.073475,0.26965,0.068847,0.26085
200,60,0.073292,0.26834,0.051886,0.22626
300,1,1.0031,1.0013,0.97075,0.98496
300,2,0.95548,0.97701,0.92077,0.9593
300,3,0.77455,0.87939,0.73757,0.85879
300,4,0.69443,0.83324,0.65248,0.80776
300,5,0.58607,0.7642,0.49312,0.70213
300,6,0.35868,0.59726,0.29423,0.54099
300,7,0.23896,0.48677,0.19263,0.43711
300,8,0.1843,0.42818,0.1697,0.41035
300,9,0.17041,0.41214,0.15106,0.38732
300,10,0.16206,0.40082,0.1685,0.40962
300,11,0.15049,0.38614,0.12244,0.34834
300,12,0.13608,0.36798,0.13374,0.36445
300,13,0.12956,0.35806,0.11303,0.33442
300,14,0.11536,0.33813,0.15193,0.38752
300,15,0.11772,0.34068,0.09231,0.30198
300,16,0.10392,0.32086,0.088454,0.29586
300,17,0.098727,0.31382,0.081244,0.28354
300,18,0.10379,0.32029,0.086717,0.29306
300,19,0.12205,0.34798,0.10529,0.32268
300,20,0.1128,0.33348,0.083662,0.28787
300,21,0.095092,0.30738,0.082782,0.28653
300,22,0.095793,0.30776,0.1008,0.31569
300,23,0.11108,0.33172,0.12075,0.34631
300,24,0.099788,0.31431,0.10074,0.31581
300,25,0.10306,0.31768,0.092009,0.30245
300,26,0.096326,0.30884,0.084601,0.28944
300,27,0.093686,0.30425,0.10005,0.31489
300,28,0.091743,0.30132,0.067424,0.25844
300,29,0.082364,0.28594,0.067548,0.25879
300,30,0.099138,0.31172,0.077347,0.27694
300,31,0.10145,0.3166,0.092825,0.30361
300,32,0.096948,0.30916,0.063685,0.25104
300,33,0.078429,0.27841,0.098308,0.31228
300,34,0.092775,0.30013,0.081252,0.28347
300,35,0.093948,0.30219,0.067564,0.25915
300,36,0.078043,0.27832,0.067185,0.2575
300,37,0.078835,0.27923,0.072872,0.26856
300,38,0.094587,0.30368,0.064499,0.25298
300,39,0.088304,0.29417,0.057506,0.23861
300,40,0.069716,0.26274,0.054487,0.23204
300,41,0.06357,0.25103,0.058033,0.23913
300,42,0.068134,0.25902,0.04924,0.22065
300,43,0.062325,0.24798,0.058939,0.24145
300,44,0.074691,0.27148,0.096956,0.30867
300,45,0.080742,0.27865,0.055574,0.23484
300,46,0.058138,0.2399,0.046442,0.21462
300,47,0.05524,0.23419,0.043355,0.20699
300,48,0.062243,0.24704,0.052215,0.22777
300,49,0.068242,0.25702,0.050043,0.22258
300,50,0.058023,0.23803,0.042076,0.20404
300,51,0.056023,0.23549,0.0389,0.19629
300,52,0.065297,0.25064,0.054448,0.23136
300,53,0.064137,0.2479,0.079584,0.28011
300,54,0.055458,0.23379,0.049855,0.22232
300,55,0.060965,0.24415,0.047318,0.21601
300,56,0.062418,0.24724,0.055373,0.23452
300,57,0.06882,0.25735,0.040829,0.2009
300,58,0.053871,0.22834,0.039946,0.19842
300,59,0.046109,0.21334,0.040546,0.20002
300,60,0.042189,0.20395,0.044967,0.21054
350,1,0.9971,0.99801,0.98517,0.99228
350,2,0.91967,0.95866,0.87328,0.9344
350,3,0.78757,0.88727,0.72655,0.85237
350,4,0.71187,0.84365,0.67303,0.82037
350,5,0.62481,0.78961,0.49975,0.70678
350,6,0.36771,0.60222,0.35956,0.59915
350,7,0.21313,0.46065,0.19293,0.43722
350,8,0.17538,0.41718,0.14568,0.38023
